ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,MAG_X,MAG_Y,MAG_Z
-808,457,235,-627,669,-1462,0,-1,-4
-1088,502,279,-821,1057,-1390,0,0,-4
-1240,474,410,-742,1393,-1109,0,0,-3
-1542,528,485,-1318,1022,-621,0,0,-3
-1523,376,584,-472,1857,108,0,0,-3
-1652,321,542,-1422,793,662,0,0,-2
-1560,210,615,-610,1655,793,1,0,-2
-1443,247,669,-1264,380,852,0,0,-2
-1450,219,501,-697,503,1041,0,0,-2
-1378,253,631,-776,-364,1146,0,0,-1
-1282,201,558,-398,-660,1240,0,0,-2
-1091,186,606,-144,-977,1315,0,0,-2
-968,140,647,340,-1003,1440,0,0,-2
-739,115,557,657,-1113,1355,-1,0,-2
-476,65,441,1040,-1050,1201,-1,0,-3
-297,102,354,938,-1423,881,-2,0,-3
-235,168,232,1113,-1540,535,-2,-1,-3
-137,211,65,1075,-1354,24,-2,-1,-2
-131,263,-110,984,-994,-514,-2,-1,-2
-340,325,-292,567,-781,-1190,-2,-1,-2
-553,402,-365,137,-421,-1593,-2,-1,-2
-712,460,-227,-385,-365,-1842,-2,0,-2
-918,557,-80,-658,-221,-2132,-1,0,-2
-1423,799,-168,-1194,-620,-1817,-1,0,-3
-1494,772,115,-1298,696,-1471,0,0,-3
-1583,706,240,-1703,732,-801,0,0,-3
-1501,523,422,-1584,823,-253,0,0,-2
-1421,296,464,-2226,346,47,0,0,-2
-1351,178,712,-1774,98,619,1,0,-2
-1286,99,597,-1208,75,829,1,0,-2
-1337,91,735,-998,-188,1059,0,0,-2
-1252,57,786,-595,-423,1232,0,0,-2
-1109,84,860,-50,-645,1161,0,0,-2
-930,138,889,536,-876,1579,0,0,-3
-806,128,772,785,-1316,1535,0,0,-3
-775,175,687,1178,-1358,1432,-1,0,-3
-573,201,526,1258,-1428,1116,-1,-1,-3
-357,159,420,1351,-1335,737,-2,-1,-3
-127,106,248,1017,-1673,410,-2,-2,-3
-134,189,63,926,-1273,-200,-2,-2,-3
-154,289,-72,449,-1300,-648,-2,-2,-2
-251,331,-218,-62,-1185,-1036,-2,-2,-2
-410,386,-177,-578,-917,-1500,-2,-2,-3
-776,494,-125,-940,-163,-1997,-2,-1,-3
-888,589,28,-1097,239,-2080,-1,-1,-3
-1277,753,138,-1333,603,-1994,-1,0,-3
-1389,822,284,-1617,753,-1422,0,0,-3
-1404,743,622,-1747,790,-595,0,0,-3
-1290,537,789,-1801,200,261,0,0,-3
-1261,387,829,-1581,-275,739,0,0,-3
-1146,208,938,-1075,31,844,0,0,-3
-1174,121,968,-989,-44,1116,0,0,-3
-1072,82,1036,-494,113,1199,0,0,-3
-959,77,946,-255,-56,1244,0,0,-3
-976,119,967,119,116,1066,0,0,-3
-927,174,922,278,-193,1129,0,0,-3
-831,195,867,921,-139,1096,0,0,-3
-797,226,778,961,-455,1071,-1,0,-3
-717,220,645,1192,-750,1075,-1,0,-3
-540,207,440,1425,-663,910,-2,0,-3
-327,179,288,1417,-819,678,-2,-1,-2
-137,186,156,1301,-885,381,-2,-1,-2
-60,239,-42,1227,-700,12,-2,-1,-2
